[32.7026116, -103.1360403]
[40.5795317, -74.1502007]
[29.79466409999999, -98.7319703]
[38.8576128, -76.8894171]
[41.7689878, -72.4334173]
[38.7142263, -85.4735707]
[37.36883, -122.0363496]
[35.6468991, -117.8125674]
[39.1637984, -119.7674034]
[37.3382082, -121.8863286]
[30.0474332, -99.1403189]
[29.7604267, -95.3698028]
[37.3382082, -121.8863286]
[38.6270025, -90.19940419999999]
[42.5793103, -83.2827093]
[48.1171945, -118.2022917]
[35.5328838, -82.8373558]
[39.5478509, -81.6395732]
[33.2098407, -87.56917349999999]
[34.0633443, -117.6508876]
[47.3352273, -122.8293192]
[39.6001132, -75.94133269999999]
[35.9798734, -78.50972279999999]
[47.2640071, -93.6221657]
[42.7284117, -73.69178509999999]
[35.3732921, -119.0187125]
[37.68717609999999, -97.33005299999999]
[38.2664512, -77.18078419999999]
[30.3321838, -81.65565099999999]
[34.31814970000001, -86.4958219]
[40.0578384, -74.1371832]
[35.914581, -79.9719831]
[36.1699412, -115.1398296]
[35.6869752, -105.937799]
[39.9606643, -75.6054882]
[28.0614065, -82.3023128]
[33.4483771, -112.0740373]
[25.7616798, -80.1917902]
[36.3047735, -86.6199957]
[35.0456297, -85.3096801]
[40.6096698, -111.9391031]
[32.7766642, -96.79698789999999]
[37.8043637, -122.2711137]
[32.715738, -117.1610838]
[34.0522342, -118.2436849]
[29.4241219, -98.49362819999999]
[40.114955, -111.654923]
[40.9125992, -73.8370786]
[32.5007037, -94.74048909999999]
[36.1988592, -115.1175013]
[29.4241219, -98.49362819999999]
[41.8781136, -87.6297982]
[35.9850639, -96.76697]
[32.2217429, -110.926479]
[40.3977612, -105.0749801]
[37.2698395, -81.2223195]
[41.3125552, -81.4401129]
[32.8423345, -104.4032962]
[34.5400242, -112.4685025]
[36.7468422, -119.7725868]
[43.7094283, -98.0297992]
[38.5489431, -86.61999139999999]
[41.18772209999999, -123.703994]
[32.9659566, -97.68363839999999]
[42.8678693, -71.49483219999999]
[35.9940329, -78.898619]
[34.0633443, -117.6508876]
[36.8529263, -75.97798499999999]
[36.8529263, -75.97798499999999]
[25.7776438, -80.2377078]
[32.5251516, -93.7501789]
[32.7026116, -103.1360403]
[36.7468422, -119.7725868]
[64.8377778, -147.7163888]
[44.4822137, -88.0701033]
[39.0997265, -94.5785667]
[64.8377778, -147.7163888]
[34.0686206, -118.0275667]
[44.6697805, -74.9813084]
[34.0922335, -117.435048]
[39.768403, -86.158068]
[38.1341477, -121.2722194]
[33.9401088, -118.1331593]
[39.849557, -75.3557457]
[39.9205411, -105.0866504]
[33.1731716, -86.2516406]
[35.9703599, -83.95518539999999]
[41.4641806, -91.8382273]
[34.9334298, -95.76971309999999]
[29.0246906, -95.3988291]
[37.1092162, -87.8819594]
[34.8957957, -117.0172826]
[29.942783, -89.9635162]
[34.227617, -118.442425]
[25.7616798, -80.1917902]
[34.0522342, -118.2436849]
[31.3112936, -92.4451371]
[44.3522065, -103.7651984]
[43.8822464, -84.48473159999999]
[37.4042496, -84.41382589999999]
[34.1083449, -117.2897652]
[36.0770048, -87.3877899]
[30.2751945, -89.78117449999999]
[31.3422346, -88.24611829999999]
[38.4495688, -78.8689155]
[39.5214373, -85.7769238]
[32.7766642, -96.79698789999999]
[36.6171819, -121.8482855]
[36.6171819, -121.8482855]
[33.6609389, -95.55551299999999]
[29.1872023, -81.420901]
[28.0652975, -81.7886906]
[37.8043637, -122.2711137]
[30.5168639, -86.48217199999999]
[38.68194, -120.56222]
[36.1988592, -115.1175013]
[40.7607793, -111.8910474]
[33.1972465, -96.6397822]
[39.4695489, -76.82942129999999]
[36.6721195, -81.20781640000001]
[39.7390721, -75.5397878]
[25.7616798, -80.1917902]
[38.682219, -104.7008056]
[44.9537029, -93.0899578]
[41.0814447, -81.51900529999999]
[41.8781136, -87.6297982]
[34.4258586, -112.5868398]
[30.4582829, -91.1403196]
[32.9440077, -103.3485543]
[34.0522342, -118.2436849]
[34.9831309, -85.2860676]
[33.1828974, -97.2872402]
[25.7616798, -80.1917902]
[32.555556, -117.0470434]
[44.0805434, -103.2310149]
[45.8769031, -93.29383519999999]
[37.7781702, -81.1881557]
[31.5455001, -110.2772856]
[34.1064001, -117.3703235]
[45.4942838, -122.8670454]
[35.2219971, -101.8312969]
[34.1898566, -118.451357]
[34.7448112, -87.66752919999999]
[41.8781136, -87.6297982]
[32.8234621, -97.1705678]
[40.5575986, -74.2846022]
[41.0814447, -81.51900529999999]
[35.4495065, -97.3967019]
[36.6002378, -121.8946761]
[26.7153424, -80.0533746]
